,ID,EXPOCODE,LINE
14,15,06AQ20050122,A12
17,18,06AQ20071128,A12
18,19,06AQ20080210,A12
19,20,06AQ20101128,A12 SR04
22,23,06GA19960613,AR19
44,45,06MT19970815,AR07E
48,49,06MT20010507,A02
50,51,06MT20010717,A02
67,68,09AR19960822,SR03
68,69,09AR19980228,SR03
69,70,09AR20011029,S04 SR03
70,71,09AR20030103,I08S
71,72,09AR20041223,I09S
72,73,09AR20060102,S04I
73,74,09AR20071216,SR03
74,75,09AR20080322,SR03
75,76,09AR20110104,SR03
76,77,09AR20120105,I09S
82,83,09FA20010524,P15S
83,84,09SS20090203,P15S
161,162,18HU19990627,AR07 AR07W
164,165,18HU20020623,AR07 AR07W
166,167,18HU20040515,AR07 AR07W
167,168,18HU20050526,AR07 AR07W
168,169,18HU20060524,AR07 AR07W
169,170,18HU20070510,AR07 AR07W
170,171,18HU20080520,AR07 AR07W
171,172,18HU20090517,AR07W
172,173,18HU20100513,AR07 AR07W
173,174,18HU20110506,AR07 AR07W
196,197,18SN19940724,AO94
228,229,29HE20010305,A17 FICARAM
229,230,29HE20020304,A17 FICARAM
234,235,29HE20130320,A17
269,270,318M19940327,P21 P21E P21W
272,273,318M20091121,P06W
294,295,320620110219,S04P
303,304,325019971101,P16 P16N
305,306,325020060213,P16 P16C P16N
306,307,325020080826,P16 P16N
328,329,33AT20120324,A22
329,330,33AT20120419,A20
331,332,33LG20060321,SR01
332,333,33LG20090916,SR01
344,345,33RO20071215,P18
345,346,33RO20100308,A13 A13.5 AJAX
346,347,33RO20110926,A10
351,352,33RR20070204,I08S
351,352,33RR20070204,I08S
352,353,33RR20070322,I09N
353,354,33RR20080204,I06S
353,354,33RR20080204,I06S
354,355,33RR20090320,I05
384,385,35MF20080207,A12
396,397,41SS19940301,IR01W
440,441,49HH19941213,SR03
485,486,49NZ20030803,P06W
486,487,49NZ20031106,A10
487,488,49NZ20031209,I03
487,488,49NZ20031209,I03
494,495,49NZ20050525,P10
496,497,49NZ20051031,P03 P03E
501,502,49NZ20070724,P01
501,502,49NZ20070724,P01
503,504,49NZ20071008,P01 P14 P14/P01
503,504,49NZ20071008,P01 P14 P14/P01
504,505,49NZ20071122,P14
516,517,49RY20110515,P01 P13
517,518,49RY20120726,40N
619,620,49ZS19921203,SR3S4
633,634,58GS20060721,75N
649,650,58JH19990615,75N
656,657,61TG20020206,SR03
657,658,61TG20030217,SR03
668,669,64TR19900417,A16N
674,675,740H20090203,SR01
675,676,740H20090307,A09 A09.5 A095 A10 A9.5 AO95
679,680,74AB19910614,AR24 AR27
681,682,74AB20020301,I05
681,682,74AB20020301,I05
694,695,74DI20040404,A05
697,698,74DI20080820,AR07 AR07W
698,699,74DI20100106,A05
699,700,74DI20110715,A16N
743,1020,096U20160426,P15S
752,1029,18MF20120601,AR07 AR07W
758,1035,318M20130321,P02 P02E
759,1036,320620140320,P16 P16S
763,1040,33HQ20150809,ARC01
764,1041,33RO20130803,A16N
765,1042,33RO20131223,A16S A23
766,1043,33RO20150410,P16C P16N P16
767,1044,33RO20150525,P16N P16
768,1045,33RO20161119,P18
769,1046,33RR20160208,I08S
770,1047,35PK20140515,A01W OVIDE
772,1049,49NZ20060120,P03 P03W
773,1050,49NZ20121128,I09S P14 P14S S04 S04I
774,1051,49NZ20130106,S04 S04I
775,1052,49NZ20140709,P10N P01
776,1053,49NZ20140717,P10N P01
777,1054,49NZ20151223,I10
778,1055,49NZ20170208,P17E P17
818,1095,49UP20130619,P03W
823,1100,49UP20150724,P04W
824,1101,49UP20160703,P09
832,1109,74EQ20151206,A05
