Expocode,Lines
,
33RR20080204,I06S
49NZ20071122,P14
49NZ20071008,P01 P14 P14/P01
49NZ20070724,P01
33RR20070204,I08S
318M20060601,KESS
33RR20050617,KESS
325020040424,KESS
49NZ20031209,I03
74AB141_1,I03
74AB20020301,I05
32MW100_1,PRS02
20VDSR0198_1,SR01
32MW099_1,PRS02
32MW098_1,PRS02
33RBGP698_1,PR16
32MW097_1,PRS02
64PE122_1,AR12
06AZ173_1,AR25
32MW096_1,PRS02
06AZ172,AR13
32MW095_1,PRS02
33KMGP498_1,PR15
18HU98023_1,AR07 AR07W
06MT42_1,AR26
32MW094_1,PRS02
32MW093_1,PRS02
06GA316_1,AR19
74DI233_1,A16N A16N/AR21 AR21
06MT41_3,AR15
32MW092_1,PRS02
06PO237_3,AR26
06AQANTXV_4,SR04
09AR19980228,SR03
32MW090_1,PRS02
33KMGP198_1,PR16
31RBOACES24N_2,A05 AR01
32MW089_1,PRS02
06BE128,IR01W
91AA19971204,SR04
74JC27_1,SR01
32EV311_1,AR02
32MW088_1,PRS02
325019971101,P16 P16N
316N154_2,AR24
90P436_1,AR05N/AR07E/AR22 AR07 AR07E
06PO233_1,AR26
33RR087_1,PRS02
316N151_4,A22
06MT19970815,AR07E
06MT39_5,AR07 AR07E AR07E/AR25 AR25
64PE110_1,AR12
74DI230_1,A25
34AR97_12,AR18
33KMGP597_1,PR16
32MW086_1,PRS02
316N151_3,A20
06MT39_4,AR05/AR07W AR07 AR07W
32MW085_1,PRS02
06MT39_3,A02
33KMGP497_1,PR15
32MW084_1,PRS02
316N151_2,A24
06MT39_2,AR12 AR12/AR24 AR24
18HU97009_1,AR07 AR07W AR07W/AR13/AR27 AR13 AR27
32MW083_1,PRS02
32MW082_1,PRS02
06AQANTXIV_4,AR09
20VDPR1497_1,PR14
32MW081_1,PRS02
32MW080_1,PRS02
18DD19970213,
33KMGP197_1,PR16
316N147_5,AR27
318MSOJOURN4,IR03
06MT37_2,AR26
32MW079_1,PRS02
32MW078_1,PRS02
20VDSR0196_1,SR01
74JC16_1,SR01
316N147_2,AR24
492SSY9610_1,P08N
32MW077_1,PRS02
18HU96026_1,AR07 AR07W AR07W/AR27 AR27
32MW076_1,PRS02
74DI223,AR12
33KMGP696_2,PR16
09FA0896,ISS03
09AR9601_1,SR03
09AR19960822,SR03
06AZ161_2,AR07 AR07E
32MW075_1,PRS02
18DD19960814,
18DD9618_1,PR06 PR06/PRS01
06PO,AR25
20VDPR1496_1,PR14
32MW074_1,PRS02
06AZ161_1,AR25
492SSY9607_1,P08N
32MW073_1,PRS02
49K6KY9606_1,P08N
33KMGP396_1,PR15
64PE96N_1,AR12
49XK9605,P08S
06GA19960613,AR19
09FA9606,ISS03
32MW072_1,PRS02
18HU96006_1,AR07 AR07W
18DD19960508,
09FA9605,ISS03
18DD9609_1,PR06
06GA276_2,AR19
3175GP196_1,PR16
320696_3,S04 S04I
32MW071_1,PRS02
33LKETAMBOT2_1,AR04 AR04EW AR04EW/AR15 AR15
08PD0196_1,AR08
32MW070_1,PRS02
06AQANTXIII_4,S04 S04A SR04
35MF103_1,I06S
18DD19960220,
18DD9601_1,PR06
32MW069_1,PRS02
31DSCG96_1,"P14 P14S P14S,P15S P15S"
316N145_15,I02 I02W
3175GP895_2,PR16
20VDSR0195_1,SR01
316N145_14,I02 I02E
49RY9511_2,P24
32MW068_1,PRS02
316N145_13,I10
32MW067_1,PRS02
316N145_12,I01E
32MW066_1,PRS02
3175MB95_07,IR04
09FA9508_1,IR06
06PO212_1,AR26
35LLETAMBOT1_1,AR04 AR04EW AR04EW/AR15 AR15
46BS1495,AR18
316N145_11,I01W
32MW065_1,PRS02
18DD9512_1,PR06
18DD19950822,
49SU9508_1,PR17
06MT32_6,IR03 ISS02/IR01W/IR03N
31DSGP595_1,PR16
3230064_1,PRS02
64PE95N_1,AR12
09AR9501_1,SR03
316N145_10,I07 I07N
49SU9506_2,PR17
32MW9508,PR03 PR03/PCM06
09FA0695,ISS03
316N145_9,I04/I05W/I07C I05 I07
06MT32_4,IR03 IR03/ISS02
18HU95011_1,A01 A01W/AR05/AR13 AR13
3175MB95_04,IR01W IR01W/IR03 IR03
32OC269_1,AR02
06AZ152,AR07 AR07E
20VDPR1495_1,PR14
18DD19950509,
18DD9505_1,PR06
32MW063_1,PRS02
33DSGP495_1,PR15
49SU9504_1,PR17
316N145_8,I03
18HU95003_1,AR13
32MW062_1,PRS02
09FA9503_1,IR06
06MT32_1,IR01W IR01W/IR03N/ISS02 IR03
3175MB95_02,IR03 IR03/ISS1/ISS2 ISS01
74JC10_1,A16S A23
316N145_7,I05 I08N/I05E
32MW061_1,PRS02
74DI214_1,ISS01
35A3CITHER3_2,A13 A13.5 AJAX
18DD19950209,
18DD9501_1,AR07W AR07 PR06 PR06/PRS01
32MW060_1,PRS02
49TK9502_1,PR03
29HE021,SR01
31DSGP195_1,PR16
316N145_6,I09N
49TU9501_1,PR18
49XK9406_1,PR23 PR23/PR24 PR24
35A3CITHER3_1,A14
74DI213_1,ISS01
09AR9404_1,S03/S04I S04 S04I
49HH19941213,SR03
316N145_5,I08S I08S/I09S I09S
32NMPRS03_4,PRS03
49EWBO9411_1,PR27
32MW059_1,PRS02
06MT30_3,A01
74JC00_2,SR01
09FA1094,S05
20VDSR0194_1,SR01
492SSY9411_1,P02 P02W/PR27 PR27
58JH19941029,AR18
35A3ROMANCHE_3,AR15
06AQANTXII_1,AR15
49TU9410_2,PR19
33SW9404_1,AR11
18DD9403_2,P15N
32MW058_1,PRS02
06MT30_2,A02
18HU94030_1,AR13
49TU9410_1,PR18
20VDPR1494_1,PR14
49SU9409_2,PR17
32MW057_1,PRS02
08EH1094_1,AR08
09FA9409,ISS?
18DD19940907,
06MT30_1,A01
18DD9403_1,P15N P15N/PR06 PR06
06PO202_1,AR26
3175EP494_2,PR16
32MW056_1,PRS02
09FA9408,IR04
32NMPRS03_3,PRS03
3175EP394_1,PR16
18SN19940724,AO94
58JH0894_1,AR18
32MW055_1,PRS02
49TU9407_1,PR18
49SU9407_1,PR17
49RY9407_1,P09
32MW054_1,PRS02
316N142_4,AR04 AR04EW
18HU94008_1,AR07 AR07W AR07W/AR13 AR13
06AZ144,AR07 AR07E
18DD19940512,
3175EP294_2,PR16
06MT28_2,AR15
18DD9402_1,PR05/PR06 PR06
49SU9404_1,PR17
49TU9404_1,PR18
3175EP194_1,PR16
316N142_3,A15/AR15 AR15
06MT28_1,A08
318M19940327,P21 P21E P21W
09FA0394,PR11 PR11/PR13N PR13N
32MW053_1,PRS02
08BD0394_1,AR08
41SS19940301,IR01W
49XK9307_3C,PR01 PR01S
74DI207,ISS01
06MT27_3,AR04 AR04EW AR15
49XK9307_3B,PR24
32MW052_1,PRS02
49SU9402_2,PR17
49XK9307_3A,PR23
18DD19940208,
18DD9401_1,PR06
49TK9402_1,PR03
31DSCG94_1,P18
3250031_1,P31
49RY9401_1,PR02
49TU9401_1,PR18
32MW051_1,PRS02
49EWBO9401_1,P02 P02C
31JDPRS03_2,PRS03
49K6KY9401_1,P02 P02T
3230CITHER2_1,A17
09AR9407_1,SR03
74JC00_1,SR01
18HU93039_1,AR13 AR13/AR19/AR22 AR19
20VDSR0193_1,SR01
49TU9310_2,PR19
32MW050_1,PRS02
32309308_1,AR09
49TU9310_1,PR18
21OR370_1,PR20
492SSY9310_1,P02 P02E
90P431_1,AR11
21OR369_1,PR21
32NMPRS03_1,PRS03
20VDPR1493_1,PR14
3250TN026_1,P10
49SU9309_3,PR17
32MW049_1,PRS02
09FA0793,PR11 PR11/PR13N PR13N
90CT40_1,A03
90BM9316_1,P01 P01W
34AR10_1,AR18
31DSEP393_1,PR16
08BD0993_1,AR08
